"periodo","estu_tipodocumento","estu_consecutivo","cole_area_ubicacion","cole_bilingue","cole_calendario","cole_caracter","cole_cod_dane_establecimiento","cole_cod_dane_sede","cole_cod_depto_ubicacion","cole_cod_mcpio_ubicacion","cole_codigo_icfes","cole_depto_ubicacion","cole_genero","cole_jornada","cole_mcpio_ubicacion","cole_naturaleza","cole_nombre_establecimiento","cole_nombre_sede","cole_sede_principal","estu_cod_depto_presentacion","estu_cod_mcpio_presentacion","estu_cod_reside_depto","estu_cod_reside_mcpio","estu_depto_presentacion","estu_depto_reside","estu_estadoinvestigacion","estu_estudiante","estu_fechanacimiento","estu_genero","estu_mcpio_presentacion","estu_mcpio_reside","estu_nacionalidad","estu_pais_reside","estu_privado_libertad","fami_cuartoshogar","fami_educacionmadre","fami_educacionpadre","fami_estratovivienda","fami_personashogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","fami_tienelavadora","desemp_ingles","punt_ingles","punt_matematicas","punt_sociales_ciudadanas","punt_c_naturales","punt_lectura_critica","punt_global"
"20132","CC","SB11201320468786","URBANO","S","A","ACADÉMICO","119573000207","119573000207","19","19573","041533","CAUCA","MIXTO","TARDE","PUERTO TEJADA","OFICIAL","I.E. FIDELINA ECHEVERRY","FIDELINA ECHEVERRY (sede principal)","S","19","19573","19","19845","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","07/05/1994","M","PUERTO TEJADA","VILLA RICA","COLOMBIA","COLOMBIA","N","Tres","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Estrato 1","Cuatro","No","No","No","Si","A-","39","33","","","",""
"20132","CC","SB11201320350577","RURAL","N","A","ACADÉMICO","219256000271","219256000271","19","19256","166074","CAUCA","MIXTO","MAÑANA","EL TAMBO","OFICIAL","I.E. SEGUENGUE","SEGUENGUE (SEDE PRINCIPAL)","S","19","19256","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","09/10/1994","M","EL TAMBO","POPAYÁN","COLOMBIA","COLOMBIA","N","Tres","Primaria incompleta","Primaria incompleta","Estrato 1","Cinco","No","No","No","No","A-","40","38","","","",""
"20142","TI","SB11201420531107","RURAL","","A","TÉCNICO","219137000328","219137000328","19","19137","125351","CAUCA","MIXTO","MAÑANA","CALDONO","OFICIAL","I.E. AGROINDUSTRIAL MONTERILLA (ANTES INSTITUCION EDUCATIVA MONTERILLA)","I.E. AGROINDUSTRIAL MONTERILLA (ANTES I.E. MONTERILLA) - SEDE PRINCIPAL","S","19","19698","19","19137","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","11/09/1996","F","SANTANDER DE QUILICHAO","CALDONO","COLOMBIA","COLOMBIA","N","Tres","Primaria incompleta","Primaria incompleta","Estrato 1","Cinco","No","No","No","No","A1","49","41","53","48","48","238"
"20131","TI","SB11201310025666","URBANO","N","B","ACADÉMICO","319001000451","319001000451","19","19001","031369","CAUCA","MIXTO","MAÑANA","POPAYÁN","NO OFICIAL","INSTITUTO MELVIN JONES","INSTITUTO MELVIN JONES","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","07/07/1995","F","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Cuatro","Postgrado","Secundaria (Bachillerato) completa","Estrato 3","Cinco","Si","Si","Si","Si","A1","43","48","","","",""
"20152","TI","SB11201520340332","RURAL","","A","ACADÉMICO","219142000204","219142000204","19","19300","168872","CAUCA","MIXTO","MAÑANA","GUACHENÉ","OFICIAL","I.E. INTEGRADO OBANDO","I.E. INTEGRADO OBANDO - SEDE PRINCIPAL","S","19","19573","19","19300","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","05/06/1998","M","PUERTO TEJADA","GUACHENÉ","COLOMBIA","COLOMBIA","N","Dos","Primaria incompleta","Secundaria (Bachillerato) incompleta","Estrato 1","Cinco","No","No","No","No","A1","50","39","43","35","46","207"
"20122","TI","SB11201220432722","URBANO","","A","ACADÉMICO","319698001859","319698001859","19","19698","123356","CAUCA","MIXTO","MAÑANA","SANTANDER DE QUILICHAO","NO OFICIAL","LICEO PEDAGOGICO QUILICHAO","LICEO PEDAGOGICO QUILICHAO","S","19","19698","19","19698","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","30/03/1997","M","SANTANDER DE QUILICHAO","SANTANDER DE QUILICHAO","COLOMBIA","COLOMBIA","N","Tres","Primaria completa","Secundaria (Bachillerato) completa","Estrato 2","Tres","No","Si","Si","Si","A1","50","50","","","",""
"20122","CC","SB11201220429673","RURAL","N","A","TÉCNICO","219355000283","219355000283","19","19355","141770","CAUCA","MIXTO","COMPLETA","INZÁ","OFICIAL","INST EDUC JIISA FXIW (ANTES CENT EDUC JIISA FXIW RESGUARDO INDIG DE YAQUIVA)","ESCUELA RURAL MIXTA LA MILAGROSA","S","19","19355","19","19355","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","29/11/1993","M","INZÁ","INZÁ","COLOMBIA","COLOMBIA","N","Dos","Primaria incompleta","Primaria incompleta","Estrato 1","Cuatro","No","No","No","No","A-","42","52","","","",""
"20152","TI","SB11201520374755","URBANO","N","A","TÉCNICO","119001001113","119001001113","19","19001","048488","CAUCA","MASCULINO","COMPLETA","POPAYAN","OFICIAL","DON BOSCO","SEDE DON BOSCO","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","17/07/1999","M","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Tres","Secundaria (Bachillerato) completa","Educación profesional completa","Estrato 1","Cinco","No","Si","Si","Si","A1","52","68","64","61","51","302"
"20151","TI","SB11201510046325","URBANO","N","A","ACADÉMICO","319001002372","319001002372","19","19001","118471","CAUCA","MIXTO","MAÑANA","POPAYAN","NO OFICIAL","CENT EDUCATIVO DEL NORTE LA MERCED","CENT EDUCATIVO DEL NORTE LA MERCED","S","19","19001","19","19001","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","18/02/1997","M","POPAYÁN","POPAYÁN","COLOMBIA","COLOMBIA","N","Cinco","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Estrato 2","Seis","No","Si","Si","Si","A-","45","41","43","43","46","217"
"20152","TI","SB11201520523918","URBANO","N","A","TÉCNICO","219585000291","219585000291","19","19585","070268","CAUCA","MIXTO","MAÑANA","PURACE (COCONUCO)","OFICIAL","I.E.A. GUILLERMO LEON VALENCIA","I.E.A. GUILLEMO LEON VALENCIA - SEDE PRINCIPAL","S","19","19001","19","19585","CAUCA","CAUCA","PUBLICAR","ESTUDIANTE","30/10/1996","M","POPAYÁN","PURACÉ","COLOMBIA","COLOMBIA","N","Dos","Primaria completa","Primaria completa","Estrato 1","Cuatro","No","No","No","No","A-","43","38","54","44","41","221"
